,Proposed,Passed
Caleb Rowden,167,3
Cheri Toalson Reisch,0,0
Chuck Basye,29,0
Martha Stavens,20,0
Kip Kendrick,12,0
Caleb Jones,159,5
Kurt Schaefer ,137,7
Stephen Webber,137,0
